Allgemein;Общая лексика;O̒bschtschaja lе́kßika;;
ja;да;da;;
nein;нет;net;;
vielleicht;может быть;mо̒shet byt;;
bitte;пожалуйста;pashа́lujßta;;
danke;спасибо;ßpaßi̒ba;;
entschuldigung;извините;iswini̒te;;
alles klar;ясно, ладно;jа́ßna, lа́dna;;
Ich verstehe (nicht);Я (не) понимаю;Ja (ni) panimа́ju;;
Sprechen Sie Deutsch?;Вы говорите по-немецки?;Wy gawari̒te pa-nimе́tzki?;;
Ich spreche kein Deutsch;Я не говорю по-немецки;Ja ni gawarju̒ pa-nimе́tzki.;;
Hilfe!;Помогите! ;Pamagi̒te!;;
Ein bisschen langsamer bitte;Немного помедленнее, пожалуйста;Nimnо́ga pamе́dlinije, pashа́lujßta;;
Gesundheit!;Будь здоров(а)! Будьте здоровы! ;Bud sdarо́w(a)! Bu̒dtje sdarо́wy! ;;
Prost!;Твое (Ваше) здоровье!;Twajо́ (Wа́sche) sdarо́wje!;;
wo;где;gde;;
wann;когда;kagdа́;;
wer;кто;kto;;
warum;почему;patschimu̒;;
Vorstellungen;Знакомство, как представиться;Snako̒mßtwa, kak pretßtа́witza;;
Name;имя;i̒mja;;
Wie heißen Sie?;Как Вас зовут?;Kak waß sawu̒t?;;
Ich heiße…;Меня зовут...;Minjа́ sawu̒t…;;
Ich bin…;Я ...;Ja …;;
Es ist nett Sie kennenzulernen;Приятно с Вами познакомиться ;Prijа́tna ß wа́mi pasnakо́mitza;;
Ich bin X Jahre alt;Мне X лет;Mne X let.;;
Ich komme aus…;Я из ...;Ja is … ;;
Wie alt sind Sie?;Сколько Вам лет?;ßkо́lka wam let?;;
Wo arbeiten Sie?;Где Вы работаете?;Gde wy rabо́taiti?;;
Wo kommen Sie her?;Откуда Вы?;Atku̒da wy?;;
Was bringt Sie hierher?;Что привело Вас сюда?;Schto priwilо́ waß ßjudа́?;;
Wie war Ihre Reise?;Как прошла Ваша поездка?;Kak praschlа́ wа́scha pajе́sdka?;;
Haben Sie eine gute Zeit?;Вы хорошо проводите время?;Wy charaschо́ prawо́dite wrе́mja?;;
Was halten Sie von …?;Что Вы думаете о ...?;Schto wy du̒maiti a ...?;;
Meine Freunde nennen mich …;Мои друзья зовут меня ...;Mai̒ drusjа́ sawu̒t minjа́ ...;;
Kennen wir uns?;Мы знакомы?;My snakо́my?;;
Dies ist (Name);Это (имя);Äta (i̒mja);;
Wie war Ihr Wochenende?;Как прошли Ваши выходные?;Kak  praschli̒ wа́schy wychadny̒je?;;
Begrüssung / Verabschiedung;Приветствие / Прощание;Priwе́tßtwije / Praschtschа́nije;;
Hallo;Привет;Priwе́t;;
Guten Morgen;Доброе утро;Dо́braje u̒tra;;
Guten Tag;Добрый день. Здравствуй(те);Dо́bryj den. Sdrа́ßtwuj(ti);;
Guten Abend;Добрый вечер;Dо́bryj wе́tschir;;
Gute Nacht;Спокойной ночи;ßpakо́jnaj nо́tschi;;
Tschüss;Пока;Pakа́;;
Auf Wiedersehen;До свидания;Da ßwidа́nja;;
Wie geht es Ihnen?;Как у Вас дела?;Kak u waß di̒la?;;
gut;хорошо;charaschо́;;
schlecht;плохо;plо́cha;;
Hey / Hallo;Привет;Priwе́t;;
Wie geht's?;Как дела?;Kak di̒la?;;
Was geht?;Что нового?;Schto nо́wawa?;;
Schön Sie zu sehen.;Рад(а) Вас видеть.;Rа́d(a) waß wi̒det.;;
Nett Sie kennenzulernen;Приятно с Вами познакомиться ;Prijа́tna ß wа́mi pasnakо́mitza;;
Mach's gut;Пока;Pakа́;;
Lange nicht gesehen;Давно не виделись;Dawnо́ ni wi̒dilis;;
Wie steht's?;Как обстоят дела?;Kak abßtajа́t di̒la?;;
Reise;В поездке;F pajе́sdke;;
Ich möchte gerne…;Я бы хотел(а)...;Ja by chatе́l(a)…;;
Wo sind die Toilleten?;Где здесь туалет?;Gde sdes tualе́t?;;
Wie spät ist es?;Который час?;Katо́ryj tschaß?;;
Ich übernachte bei…;Я ночую у ...;Ja natschu̒ju u ...;;
Ich besuche Familie;Я навещаю семью;Ja nawischtschа́ju ßimju̒;;
Ich bin hier für X Tage;Я здесь на X дня (дней) ;Ja sdes na X dnja (dnej);;
Haben Sie eine Karte?;У вас есть карта?;U waß jeßt kа́rta?;;
Reisepass;загранпаспорт;sagranpа́ßpart;;
Flughafen;аэропорт;aärapo̒rt;;
Hafen;порт, гавань;port, gа́wan;;
Sicherheit;безопасность;bisapа́ßnaßt;;
Flugzeug;самолёт;ßamaljo̒t;;
Zug;поезд;po̒jisd;;
Schiff;корабль;karа́bl;;
Fahrrad;велосипед;wilaßipе́d;;
Motorrad;мотоцикл;matatzy̒kl;;
Bus;автобус;afto̒buß;;
fliegen;лететь;litе́t;;
fahren;ехать;jе́chat;;
segeln;ходить под парусом;chadi̒t pad pа́rußam;;
Wegbeschreibungen;Описание пути;Apißа́nije puti̒;;
links;слева ;ßlе́wa;;
rechts;справа;ßprа́wa;;
hier;здесь, тут;sdes, tut;;
dort;там;tam;;
zurück;обратно, назад;abrа́tna, nasа́d;;
hoch;вверх;wwerch;;
runter;вниз;wnis;;
geradeaus;прямо;prjа́ma;;
Ort;населённый пункт, место;naßiljo̒nyj punkt, mе́sta;;
Wo ist…?;Где находится ...?;Gde nacho̒ditza …?;;
Wie komme ich nach…?;Как мне пройти к ...?;Kak mnje prajti̒ k …?;;
Ich suche ... Straße.;Я ищу улицу ... .;Ja ischtschu̒ u̒litzu … .;;
um die Ecke;за углом;sa uglo̒m;;
weit;далеко;daliko̒;;
in der Nähe von;недалеко от, близко от;nidaliko̒ at, bli̒ska at ;;
gegenüber von;напротив ;napro̒tif;;
Folgen Sie mir;Идите за мной;Idi̒te sa mnoj;;
neben X;рядом с X ;rjа́dam ß X;;
vorbeigehen;проходить мимо;prachadi̒t mi̒ma;;
zwischen;между;mе́shdu;;
Zeiten / Daten;Время / даты;Wrе́mja / dа́ty;;
jetzt;сейчас;ßijtschа́ß;;
heute;сегодня;ßiwo̒dnja;;
morgen;завтра;sа́ftra;;
gestern;вчера;ftschirа́;;
Sekunde;секунда;ßiku̒nda;;
Minute;минута;minu̒ta;;
Stunde;час;tschaß;;
Tag;день;den;;
Woche;неделя;nidе́lja;;
Monat;месяц;mе́ßitz;;
Jahr;год;god;;
früh;рано;rа́na;;
spät;поздно;po̒sdna;;
